Person_ID,Reporter_Name,Outlet_Name,Outlet_URL,Outlet_ID,Circulation
392,Vincent Bodiford,Twitter,https://twitter.com/theweekenddrive/photo,3043,"4,300"
392,Vincent Bodiford,Hometown News Network,https://townnews.com/,6214,"2,000"
397,Bruce Caldwell,autoreviewsplus.com,https://wsmag.net/automotive/,4123,"42,000"
397,Bruce Caldwell,Westsound Home & Garden,https://wsmag.net/automotive/,2985,"42,000"
421,Joe Lorio,Yahoo! News,https://news.yahoo.com,2498,"106,050"
421,Joe Lorio,AutoBlog,https://www.autoblog.com,1349,"8,502,510"
421,Joe Lorio,Amazon.com,https://amazon.com,3425,"2,500,000"
421,Joe Lorio,Forbes,https://forbeswheels.com,1498,"118,100"
421,Joe Lorio,Kelley Blue Book,https://www.kbb.com,2081,"17,180,000"
421,Joe Lorio,TrueCar.com,https://truecar.com,2335,"13,710,000"
421,Joe Lorio,Autotrader.com,https://autotrader.com,1928,"4,531,481"
421,Joe Lorio,Caranddriver.com,https://cardanddriver.com,5629,"15,237,052"
421,Joe Lorio,Instagram,https://instagram.com/1joelorio/,3095,"2,000"
460,John Neff,Motor1.com,http://www.motor1.com,3831,"3,995,932"
489,Michael Herzing,Letstalkwheels.com,https://audioboom.com/channels/4633714,1796,200
490,Pablo Scarpellini,El Mundo, ,2834,"692,000"
493,Jonathon Ramsey,AutoBlog,https://www.autoblog.com/,1349,"2,095,103"
493,Jonathon Ramsey,Yahoo! News,https://www.yahoo.com/news/,2498,"159,759,516"
497,John Stein,Northwest Herald,http://nwherald.com/,227,"360,064"
497,John Stein,shawlocal.com/wheels,https://www.shawlocal.com/wheels/,6446,"725,469"
514,Durhl Caussey,Daily Commercial Record,https://www.dailycommercialrecord.com/,2425,"1,500"
514,Durhl Caussey,AuthenticTexan.com,https://authentictexan.com/,6529,"5,000"
530,Chris Paukert,Twitter,https://twitter.com/CPAutoScribe,3043,"5,277"
531,Luke Clayton,High Plains Public Radio, ,5624,"12,000"
545,Don Hammonds,women-drivers.com,	https://women-drivers.com/,2112,"75,000"
545,Don Hammonds,Automobilejournal.com,http://automobilejournal.com,1909,500
551,John Dinkel,WheelsTV, ,2157,"15,000"
553,Mike Hagerty,Los Altos Town Crier,https://www.losaltosonline.com/,1689,"20,725"
553,Mike Hagerty,MikeHagertyCars.com,https://www.mikehagertycars.com/,5871,"11,675"
553,Mike Hagerty,Forbes,https://www.forbes.com/wheels/,1498,"13,722,071"
553,Mike Hagerty,US News & World Report ,https://mediakit.usnews.com/,1912,"42,000,000"
560,Preston Lerner,Road & Track, ,51,"600,000"
560,Preston Lerner,Road & Track,https://www.roadandtrack.com/,51,"1,119,462"
562,Annemarie Conte,Woman's Day Magazine,https://www.womansday.com/,3177,"3,135,358"
563,Larry Lark,Everett Herald ,https://www.heraldnet.com/,2971,"34,191"
563,Larry Lark,Sound Publishing,http://www.soundpublishing.com,3333,"337,170"
569,Mary Lowry,Everett Herald ,https://www.heraldnet.com/tag/cars-and-me/,2971,"1,800,000"
571,Ken Glassman,Daily Herald,https://www.dailyherald.com,570,"68,195"
571,Ken Glassman,AutoGuide.com,http://www.autoguide.com,2378,"412,839"
571,Ken Glassman,The Business Tycoons,https://www.thebusinesstycoons.com/index.html,5688,"15,000,000"
588,John  Davis,motorweek.org (online),http://www.motorweek.org/,2115,"89,914"
588,John  Davis,Youtube.com,https://www.youtube.com/user/Motorweek,1833,"486,000"
600,Thom Cannell,The Auto Channel,https://www.youtube.com/channel/UCPeEwa964MHKgjZxD66Qlrg,2618,"45,800"
604,Csaba Csere,Caranddriver.com,http://www.caranddriver.com,5629,"1,212,174"
611,Ken Chester Jr,techmobility.show,https://www.techmobility.show,6421,"6,000"
611,Ken Chester Jr,Youtube.com,https://www.youtube.com/@TheTechMobilityShow,1833,817
611,Ken Chester Jr,Spotify,https://open.spotify.com/show/2phm2MDqVAHOryyAfNWolO,6426,"6,000"
611,Ken Chester Jr,X.COM./TechMobilityPod,https://x.com/TechMobilityPod,6520,"6,000"
617,Matt DeLorenzo,Autoevolution,https://www.autoevolution.com,3288,"5,000"
617,Matt DeLorenzo,Tightwadgarage,https://tightwadgarage.com,6427,"5,000"
620,Scott (Ben) Goldenberg (Lewis),CarRevsDaily.com,https://www.car-revs-daily.com/,3011,"33,390"
644,Roosevelt Gist,Youtube.com,https://www.youtube.com/user/AutoNetwork,1833,"90,200"
644,Roosevelt Gist,blackpressusa.com,http://www.blackpressusa.com/,3630,"17,677"
651,Sue Callaway,Los Angeles Times,http://www.latimes.com ,401,"417,936"
651,Sue Callaway,Fortune Magazine,https://fortune.com ,1915,"852,077"
652,Al Haas,Philadelphia Inquirer,https://www.inquirer.com/,518,"183,432"
657,Ken Gross,TheDrive.com,https://www.thedrive.com/,3689,"4,393,630"
657,Ken Gross,AutoWeek,https://autoweek.com/,23,"317,187"
657,Ken Gross,Road & Track,https://www.roadandtrack.com/,51,"581,986"
657,Ken Gross,Old Cars Weekly,http://www.oldcarsweekly.com,5791,"34,340"
657,Ken Gross,Street Rodder,https://www.hotrod.com/street-rodder-magazine/,5792,"309,939"
658,Wallace  Wyss,MyCarQuest,https://mycarquest.com,5952,"1,800"
659,Dan Carney,Designnews.com,https://www.designnews.com/,5844,"170,540"
659,Dan Carney,Popular Science ,https://www.popsci.com/,1309,"2,275,750"
674,Catherine Droz,Instagram,https://www.instagram.com/hercertified/,3095,"2,052"
674,Catherine Droz,Youtube.com,https://www.youtube.com/channel/UCv8PJCi8Asof58XwLoQijSQ,1833,"2,360"
674,Catherine Droz,High Heels Certified,https://www.hercertified.com/,3709,"2,500"
674,Catherine Droz,City Sun Times,https://www.citysuntimes.com/,4546,"80,000"
674,Catherine Droz,Twitter,https://twitter.com/hercertified?lang=en,3043,"5,000"
674,Catherine Droz,TikTok,https://www.tiktok.com/@hercertified,6129,395
679,Don Armstrong,In Wheel Time,https://www.inwheeltime.com/,2413,"47,000"
679,Don Armstrong,Bay Area Houston Magazine,http://www.bayareahoustonmag.com/,2414,"8,100"
679,Don Armstrong,Youtube.com,https://www.youtube.com/@InWheelTime/videos,1833,"2,030"
699,Jeff Yip,Houston Chronicle,https://www.houstonchronicle.com/,365,"161,792"
699,Jeff Yip,Tire Business,http://www.tirebusiness.com,5753,"31,919"
699,Jeff Yip,In Wheel Time,	https://www.inwheeltime.com/,2413,"10,000"
704,Jonathan 'JR' Chocco,Torque Report, ,2240,"3,000,000"
706,Tom Crosby,AAA Carolinas,https://carolinas.aaa.com/?zip=27602,2206,"12,000,000"
706,Tom Crosby,Northern Virginia Daily,http://www.nvdaily.com,5048,"8,306"
706,Tom Crosby,Winchester Star,http://www.winchesterstar.com,5790,"16,983"
706,Tom Crosby,AAA Colorado,http://www.colorado.aaa.com/auto/,5853,"38,313"
718,Lindsay Brooke,SAE.org,https://www.sae.org/,2181,"304,438"
735,Aaron Gold,Automobile Magazine,https://www.automobilemag.com/,22,"413,112"
735,Aaron Gold,Motor Trend.com ,https://motortrend.com,1303,"500,000"
736,Chuck Giametta,Carpreview.com,http://carpreview.com,3462,"1,974"
739,Chad Haire,Internet Brands Automotive Group,,5734,"395,000"
739,Chad Haire,Pinal County Lifestyles,https://www.pinalcentral.com/,1907,"307,000"
739,Chad Haire,Youtube.com,https://www.youtube.com/channel/UCQM0aoCSLULHvge0BXcX9KA,1833,"16,000"
739,Chad Haire,Club Lexus,https://www.clublexus.com/,3162,"1,730,000"
739,Chad Haire,honda-tech.com,https://honda-tech.com/,5878,"1,600,000"
739,Chad Haire,85086 Magazine,,4704,"20,000"
739,Chad Haire,6SpeedOnline.com,https://www.6speedonline.com/,3744,"535,000"
739,Chad Haire,North Valley Magazine,http://www.scottsdalemagazines.com/,1829,"130,000"
739,Chad Haire,Arroyo Monthly,https://www.pasadenaweekly.com/arroyo_monthly/,6444,"45,000"
739,Chad Haire,Playa Vista Direct,https://playavistadirect.com/,6445,"7,000"
753,Stephanie Brinley,IHS Insight,https://ihsmarkit.com/index.html,3165,"339,159"
753,Stephanie Brinley,Wheelbearings Media,https://wheelbearings.media,5295,"25,000"
760,Barry Spyker,Newsday.com,https://www.newsday.com/,1495,"2,219,024"
760,Barry Spyker,NNY360.COM,https://www.nny360.com/,5979,"66,340"
760,Barry Spyker,NYDailyNews.com,https://www.nydailynews.com/,1707,"11,954,696"
760,Barry Spyker,Telegram & Gazette,https://www.thetelegram.com/,1686,"647,803"
760,Barry Spyker,Bakersfield Californian,https://www.bakersfield.com/,91,"115,986"
760,Barry Spyker,Hamodia,https://hamodia.com/,6266,"634,799"
760,Barry Spyker,Business People,http://businesspeople.com/,1184,"32,990"
760,Barry Spyker,The Derrick,https://www.thederrick.com/,1705,"99,748"
760,Barry Spyker,Detroit News,https://www.detroitnews.com/,285,"1,997,809"
760,Barry Spyker,Finger Lakes Times,https://www.fltimes.com/,6372,"127,137"
760,Barry Spyker,Arcamax,https://www.arcamax.com/,2485,"1,612,952"
760,Barry Spyker,Brunswick News,https://thebrunswicknews.com/,373,"63,876"
760,Barry Spyker,Texarkana Gazette,https://www.texarkanagazette.com/,616,"77,289"
770,Ron Sessions,Autobytel.com,https://www.autobytel.com,1351,"445,109"
770,Ron Sessions,JDPower.com,https://www.jdpower.com/,1933,"422,287"
770,Ron Sessions,TrueCar.com,https://www.truecar.com/,2335,"296,000"
770,Ron Sessions,Capital One | Auto Navigator,https://www.capitalone.com/cars/,5090,"116,000,000"
788,Jeff Gilbert,WWJ-AM CBS Detroit,https://wwjnewsradio.radio.com/,2062,"56,809"
788,Jeff Gilbert,Facebook.com,https://www.facebook.com/jefferydgilbert,2371,"2,200"
800,Joe Szczesny,Detroit Bureau,http://www.thedetroitbureau.com,5773,"10,572"
800,Joe Szczesny,WardsAuto.com,http://www.wardsauto.com,1425,"68,818"
800,Joe Szczesny,Oakland Press,http://www.theoaklandpress.com,288,"77,882"
804,Jim Tucker,Southern Automotive Journal,http://southernautomotivejournal.com/,2163,"22,123"
808,Jeff Palmer,Vtec.net,https://www.vtec.net/,5174,"91,230"
816,Joe White,Reuters - US Edition ,https://www.reuters.com/,1310,"28,293,884"
838,Lawrence Ulrich,TheDrive.com,https://www.thedrive.com,3689,"1,137,815"
838,Lawrence Ulrich,Automobile Magazine,http://www.automobilemag.com ,1338,"299,674"
838,Lawrence Ulrich,AutoBlog,https://www.autoblog.com ,1349,"2,095,103"
838,Lawrence Ulrich,Forbes,https://www.Forbes.com,1498,"23,040,308"
838,Lawrence Ulrich,Road & Track (print + www),https://www.roadandtrack.com,4200,"1,119,462"
841,Steven Cole Smith,AutoWeek,http://www.autoweek.com/,23,"291,621"
841,Steven Cole Smith,TheDrive.com,https://www.thedrive.com/,3689,"8,091,722"
841,Steven Cole Smith,Hagerty.com,https://www.hagerty.com/media/category/new-car-reviews/,3585,"1,504,765"
848,Kenji Nakajima,CarTop,https://www.webcartop.jp/#google_vignette,6511,"5,000"
848,Kenji Nakajima,Driver Magazine,https://driver-web.jp,6510,"5,000"
850,Andy Bornhop,Kelley Blue Book,https://kbb.com,2081,"4,693,725"
882,Steve Siler,Car and Driver,http://www.caranddriver.com/,26,"1,212,174"
882,Steve Siler,Caranddriver.com,http://www.caranddriver.com/,5629,"2,798,286"
885,Eric Stovall,Sportsmans Gear Magazine,https://www.sportsmansgearmag.com/,3937,"22,109"
887,James Raia,mercurynews.com,https://www.mercurynews.com/,1822,"226,594"
887,James Raia,The Weekly Driver,http://theweeklydriver.com/,1625,939
887,James Raia,Gulfshore Business,http://www.gulfshorebusiness.com/,1510,"13,000"
887,James Raia,East Bay Business Times,https://www.eastbaytimes.com/business/,1339,"10,000"
