Creator,Platform,Post Type,Date,Caption,Post URL,Views,Likes,Comments,Shares,Impressions
,YouTube,,,,https://www.youtube.com/watch?v=OkM1JdN_qnA,,,,,
,YouTube,,,,https://www.youtube.com/watch?v=9srsP9BptmQ,,,,,
,Instagram,,,,https://www.instagram.com/carsandbids/,,,,,
,Instagram,,,,https://www.instagram.com/reel/,,,,,
,YouTube,,,,https://www.youtube.com/watch?v=JIv8bzu96Fk,,,,,
,YouTube,,,,https://www.youtube.com/watch?v=GQSXA2QqkNg,,,,,
,TikTok,,,,https://www.tiktok.com/@forrestsautoreviews/video/7454205410833190186,,,,,
,TikTok,,,,https://www.tiktok.com/@alvazqueztv/video/7404575824592031022,,,,,
,Instagram,,,,https://www.instagram.com/p/,,,,,
,TikTok,,,,https://www.tiktok.com/@forrestsautoreviews/video/7359607011593735470,,,,,
